query_appid,query_game,metadata_rank,appid,recommended_game,metadata_score,genre_similarity,tag_similarity,play_mode_similarity,shared_genres,shared_tags,shared_play_modes,release_date,pct_pos_total,num_reviews_total,recommendations
812140,Assassin's Creed® Odyssey,36,1593500,God of War,0.6337,1.0,0.3895,1.0,"['action', 'adventure', 'rpg']","['action', 'action rpg', 'adventure', 'exploration', 'mythology', 'open world', 'rpg', 'singleplayer', 'story rich', 'third person']",['single player'],2022-01-14,96.0,107989.0,107557
812140,Assassin's Creed® Odyssey,37,245730,Flashback,0.6325,1.0,0.0,1.0,"['action', 'adventure', 'rpg']",[],['single player'],2013-10-01,59.0,495.0,495
812140,Assassin's Creed® Odyssey,38,258180,Deus Ex: The Fall,0.6325,1.0,0.0,1.0,"['action', 'adventure', 'rpg']",[],['single player'],2014-03-17,36.0,3559.0,3558
812140,Assassin's Creed® Odyssey,39,640160,Galactic Glitch: Prologue,0.6325,1.0,0.0,1.0,"['action', 'adventure', 'rpg']",[],['single player'],2023-05-31,97.0,169.0,0
812140,Assassin's Creed® Odyssey,40,817890,Paleocalypse,0.6325,1.0,0.0,1.0,"['action', 'adventure', 'rpg']",[],['single player'],2018-03-17,,0.0,0
812140,Assassin's Creed® Odyssey,41,869600,On Your Mark,0.6325,1.0,0.0,1.0,"['action', 'adventure', 'rpg']",[],['single player'],2019-06-28,,0.0,0
812140,Assassin's Creed® Odyssey,42,1061930,Cyber City,0.6325,1.0,0.0,1.0,"['action', 'adventure', 'rpg']",[],['single player'],2019-12-17,19.0,162.0,162
812140,Assassin's Creed® Odyssey,43,1280260,Overgrown: Genesis,0.6325,1.0,0.0,1.0,"['action', 'adventure', 'rpg']",[],['single player'],2020-05-22,83.0,189.0,189
812140,Assassin's Creed® Odyssey,44,1281160,Castle in The Clouds DX,0.6325,1.0,0.0,1.0,"['action', 'adventure', 'rpg']",[],['single player'],2021-10-08,92.0,911.0,911
812140,Assassin's Creed® Odyssey,45,1299320,Midnight Castle Succubus DX,0.6325,1.0,0.0,1.0,"['action', 'adventure', 'rpg']",[],['single player'],2020-09-18,94.0,984.0,983
812140,Assassin's Creed® Odyssey,46,1327080,Tower and Sword of Succubus,0.6325,1.0,0.0,1.0,"['action', 'adventure', 'rpg']",[],['single player'],2020-10-30,86.0,773.0,773
812140,Assassin's Creed® Odyssey,47,1384910,Shinobi Breaker,0.6325,1.0,0.0,1.0,"['action', 'adventure', 'rpg']",[],['single player'],2021-02-10,,0.0,0
812140,Assassin's Creed® Odyssey,48,1434900,HardPunch: Sex Plague,0.6325,1.0,0.0,1.0,"['action', 'adventure', 'rpg']",[],['single player'],2021-01-21,44.0,49.0,0
812140,Assassin's Creed® Odyssey,49,1441240,Paradiso Guardian,0.6325,1.0,0.0,1.0,"['action', 'adventure', 'rpg']",[],['single player'],2023-09-14,90.0,259.0,259
812140,Assassin's Creed® Odyssey,50,1459410,Sex Quest,0.6325,1.0,0.0,1.0,"['action', 'adventure', 'rpg']",[],['single player'],2020-12-03,38.0,18.0,0
