query_appid,query_game,rich_text_rank,appid,recommended_game,rich_text_score,release_date,release_year,genres,recommendations,pct_pos_total,num_reviews_total,peak_ccu
1245620,ELDEN RING,34,746880,Spoxel,0.096358,2019-03-28,2019,"['Action', 'Adventure', 'Indie', 'RPG']",0,57.0,21.0,0
1245620,ELDEN RING,35,2630100,Definya 2D MMORPG,0.09633,2023-11-05,2023,"['Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Strategy', 'Early Access']",0,68.0,60.0,0
1245620,ELDEN RING,36,2367710,Legend of the Wargod,0.09631,2024-09-17,2024,"['Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']",0,,0.0,0
1245620,ELDEN RING,37,2819520,Viking Rise: Valhalla,0.096058,2024-05-21,2024,"['Massively Multiplayer', 'RPG', 'Strategy', 'Free To Play']",0,74.0,465.0,0
1245620,ELDEN RING,38,261550,Mount & Blade II: Bannerlord,0.0959,2022-10-25,2022,"['Action', 'Indie', 'RPG', 'Simulation', 'Strategy']",202105,87.0,202175.0,18915
1245620,ELDEN RING,39,2496000,FRACTALS OF DESTINY,0.095847,2024-04-06,2024,"['Action', 'Adventure', 'Indie', 'RPG']",0,55.0,34.0,0
1245620,ELDEN RING,40,957710,The Waylanders,0.095722,2022-02-02,2022,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",347,48.0,347.0,0
1245620,ELDEN RING,41,489520,Minion Masters,0.095539,2019-05-24,2019,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy', 'Free To Play']",1533,89.0,64793.0,425
1245620,ELDEN RING,42,952000,Be Vigilant!,0.095459,2022-01-23,2022,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",0,,0.0,0
1245620,ELDEN RING,43,3475860,Tale of Dark Lands,0.095427,2025-02-27,2025,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",0,,0.0,0
1245620,ELDEN RING,44,523750,The 4th Coming,0.095425,2019-11-18,2019,"['Adventure', 'Massively Multiplayer', 'RPG']",0,71.0,98.0,7
1245620,ELDEN RING,45,1656930,Coridden,0.095359,2025-01-29,2025,"['Action', 'Adventure', 'Indie', 'RPG']",246,91.0,248.0,16
1245620,ELDEN RING,46,1342070,The Triumphant Return of Diabolos,0.095329,2022-06-10,2022,"['Adventure', 'Indie', 'RPG']",0,69.0,36.0,0
1245620,ELDEN RING,47,291190,Heroes of Steel RPG,0.095262,2014-04-23,2014,"['Indie', 'RPG', 'Strategy']",212,77.0,212.0,1
1245620,ELDEN RING,48,3301040,TeeTINY Online: Smart Tower Life,0.095233,2024-12-12,2024,"['Casual', 'Indie', 'Massively Multiplayer', 'RPG']",0,71.0,38.0,54
1245620,ELDEN RING,49,255070,Abyss Odyssey,0.095151,2014-07-15,2014,"['Action', 'Adventure', 'Indie']",1253,67.0,1253.0,1
1245620,ELDEN RING,50,65800,Dungeon Defenders,0.094954,2011-10-18,2011,"['Action', 'Indie', 'RPG', 'Strategy']",11264,93.0,11282.0,396
1174180,Red Dead Redemption 2,1,2668510,Red Dead Redemption,0.284116,2024-10-29,2024,['Action'],8276,92.0,8295.0,763
1174180,Red Dead Redemption 2,2,1404210,Red Dead Online,0.181455,2020-12-01,2020,"['Action', 'Adventure']",56631,83.0,56651.0,1228
1174180,Red Dead Redemption 2,3,3260490,Cowgirl Trainer,0.136007,2024-10-19,2024,"['Indie', 'RPG', 'Free To Play']",0,91.0,12.0,0
1174180,Red Dead Redemption 2,4,3245330,The Final Exam,0.122369,2024-11-01,2024,"['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy', 'Free To Play']",0,46.0,75.0,0
1174180,Red Dead Redemption 2,5,1413870,Shadow Man Remastered,0.119234,2021-04-15,2021,"['Action', 'Adventure']",1150,95.0,1151.0,12
1174180,Red Dead Redemption 2,6,2495340,20 Doors,0.118299,2023-07-21,2023,"['Action', 'Adventure', 'Indie']",0,,0.0,0
1174180,Red Dead Redemption 2,7,1263120,Hecaton,0.117637,2020-04-05,2020,"['Action', 'Indie', 'RPG']",0,,0.0,0
1174180,Red Dead Redemption 2,8,1996770,Turok 3: Shadow of Oblivion Remastered,0.117493,2023-11-30,2023,"['Action', 'Adventure']",430,88.0,431.0,4
1174180,Red Dead Redemption 2,9,340560,Wanted Corp.,0.116386,2016-12-08,2016,['Action'],0,45.0,11.0,0
1174180,Red Dead Redemption 2,10,1970700,CowboysShowdown,0.115619,2022-05-25,2022,"['Action', 'Casual', 'Indie']",0,90.0,11.0,1
1174180,Red Dead Redemption 2,11,1593500,God of War,0.115137,2022-01-14,2022,"['Action', 'Adventure', 'RPG']",107557,96.0,107989.0,2246
1174180,Red Dead Redemption 2,12,1888930,The Last of Us™ Part I,0.11278,2023-03-28,2023,"['Action', 'Adventure']",41021,77.0,41084.0,1840
1174180,Red Dead Redemption 2,13,2056210,LONESTAR,0.110494,2024-01-18,2024,"['Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']",1258,91.0,1260.0,47
1174180,Red Dead Redemption 2,14,1373550,BloodRayne 2: Terminal Cut,0.109876,2020-11-20,2020,"['Action', 'Adventure', 'RPG']",786,79.0,786.0,5
1174180,Red Dead Redemption 2,15,2211750,Bounty,0.108243,2022-12-02,2022,"['Action', 'Indie']",0,66.0,18.0,0
1174180,Red Dead Redemption 2,16,1373510,BloodRayne: Terminal Cut,0.107941,2020-11-20,2020,['Action'],1158,91.0,1158.0,5
1174180,Red Dead Redemption 2,17,668980,Forsaken Remastered,0.10649,2018-07-31,2018,"['Action', 'Adventure']",206,88.0,206.0,0
1174180,Red Dead Redemption 2,18,1547000,Grand Theft Auto: San Andreas – The Definitive Edition,0.106258,2023-01-19,2023,"['Action', 'Adventure']",7526,76.0,7593.0,525
1174180,Red Dead Redemption 2,19,2651280,Marvel's Spider-Man 2,0.105678,2025-01-30,2025,"['Action', 'Adventure']",10949,72.0,11158.0,3349
1174180,Red Dead Redemption 2,20,399120,Prospekt,0.104255,2016-02-18,2016,['Action'],1485,62.0,1486.0,2
1174180,Red Dead Redemption 2,21,1659420,UNCHARTED™: Legacy of Thieves Collection,0.102936,2022-10-19,2022,['Adventure'],17864,89.0,18008.0,756
1174180,Red Dead Redemption 2,22,821100,The Protocons,0.10267,2018-04-10,2018,"['Action', 'Adventure', 'Indie']",0,,0.0,0
1174180,Red Dead Redemption 2,23,918780,Sector Sweep,0.102663,2022-11-03,2022,"['Action', 'Indie', 'Early Access']",0,83.0,12.0,0
1174180,Red Dead Redemption 2,24,3126380,Starlair,0.100923,2025-01-16,2025,"['Action', 'Adventure']",0,66.0,15.0,1
1174180,Red Dead Redemption 2,25,2322010,God of War Ragnarök,0.100175,2024-09-19,2024,"['Action', 'Adventure', 'RPG']",17971,86.0,17998.0,2610
1174180,Red Dead Redemption 2,26,545050,Badiya: Desert Survival,0.09833,2016-11-11,2016,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access']",280,52.0,280.0,0
